date,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,0.2225381391099,1.81954163372931,2.46648708676054,,7.65368030017361,0.55458625075854,3.31606872157655,3.07375005503612,5.58126875594504,,15.4484630880003,7.58936421003276,7.45345077489129,7.24104936105128,20.7569122063786,0.107515189483715,3.78571318200782,9.79748655164197,10.9667747158004,1.80733779143322,0.0642846414835804,,0.143255700681539,1.4669835689385,5.33341046790275,2.09471074355522,1.31314887486631,,12.4461684126936,8.44317044319132,0.0547563501213017,0.0310004407533253,0.274301012445037,0.141401318488739,0.253706743000318,15.1488898722761,,0.053395585466576,0.0669290169723406,,2.28736430578493,1.91454256354691,1.49472140653622,0.162368162850628,0.0883639146114484,1.34147440613557,0.908730237887845,0.227529566249725,4.25757446359585,3.35194058727655,,5.82117945466075,14.5354533934042,10.1323902112046,0.467797350187899,0.863545429685813,1.10253830689392,1.47562110298945,1.5336986361705,0.443435927886884,0.128880096402312,,22.483166302781,0.65572925875662,0.0482475558279048,,0.884127980728573,10.9416935680049,6.13733887611894,,4.17078659000557,0.182584161688846,6.97417742607247,12.0266092332951,0.180617806119021,,7.4160579131162,,1.11058386422607,,0.434248625569951,0.157377585812096,0.174618484291013,1.56602187612098,0.147285378850484,0.484838026499466,,6.49894717441354,7.65228037955311,0.647456600903509,0.815382645686283,3.55721618323124,3.63623369548998,8.81053758508173,,7.25536480686695,7.14501816314887,3.12287053256021,8.83177570093458,2.85296704262815,14.5124785906533,0.265086291848178,0.266226505510889,5.9294629016252,5.77756338961862,,17.3916885281724,5.18309345964657,0.118207611040405,7.05179691275485,1.56384784483958,0.188994200657366,0.203644697024208,6.75008608719931,6.95289414218669,8.71319944248504,29.5665837370695,,0.0748984116655707,0.0576540161525588,3.11810422003609,0.711247038322879,0.00111793973544627,6.52229155490301,,0.468587910332214,1.09560577082005,3.29880797981136,,10.29340069279,,6.000648643747,3.16637311749223,0.875021885721816,0.0841886309417724,0.101746770094919,,13.5444884350906,0.0479187705470845,9.92408124664332,,6.70010210823473,0.456500040209848,0.068095086545271,0.76427629950418,4.20218631095005,,6.91033515950709,6.60562009704498,0.511462774958571,,1.09797352455216,0.561452967835213,0.509953328184529,0.944407549127172,0.667328385248222,9.18926302797985,4.11390395361496,,28.391917133639,7.44035978188794,14.6214683417634,0.0751370020773332,0.535121829403161,,0.415479088937454,10.7099367856931,0.309182549206137,8.16108621144213,2.15805602313436,0.0739818023261728,9.50730063548281,,10.3430960258621,6.77122614243797,0.462718750289199,0.104299183780305,6.21050881485507,0.0905107479408279,5.53035272149699,0.221635183985196,2.70695934639236,1.33519792552407,,0.711193293447243,0.254612347722139,4.26402038977023,6.23332497939264,6.45221910622247,2.61020311393444,2.03401342965673,0.0721208553212904,1.61547290606411,,0.2528414346223,0.810315313946539,10.3827975599241,1.72274412048403,2.5623966596656,12.0017912639862,,1.08908734480505,0.0449204878933599,13.2704070424001,29.055585582409,9.81299019315854,19.4073462781875,1.23515725958065,5.74207703559239,0.4639387070691,5.14567193194691,0.288884249670537,,,0.496444106935556,0.356473725479584,1.63537423225656
1991,0.207535164413917,1.24281022043045,2.54190868146188,,7.39618284807158,0.545438591914703,3.45727127007575,3.19944294895121,5.71921237959316,,15.3181814710407,8.04911377864628,7.1596550823099,7.38975142904752,19.3307994733058,0.0991369374397592,3.77791998519672,9.43883932293838,11.390890046725,2.30609990239298,0.051010325623469,,0.228990153423403,1.50036763838131,4.7619195688686,1.97742404663534,1.34005976204809,,12.525012969688,6.81504852608792,0.0544577164662196,0.0393220309900501,0.268297198172359,0.140398442138886,0.591795406224244,14.7410139734683,,0.0483083119281504,0.0661985546207584,,2.16045707308207,2.00053876501156,1.51596080718361,0.158271852255487,0.0467807176979413,1.30062075081289,0.944615291531123,0.225559004335664,3.14351265573077,2.55931315576566,,6.39500613845501,13.2802021772547,12.1840064350179,0.461400653279684,0.86779190350154,1.13074270973216,1.47291681229734,1.52479826664714,0.562160895209181,0.144884940659268,,20.2009333164245,0.629417159710108,0.0466583883071275,,0.866427464731305,10.9957835867037,6.50043972960152,,4.51487383600909,0.184580853797197,5.27512975867987,11.654850552459,0.161580754621257,,7.34695119451911,,1.20291104472824,,0.433481835820314,0.154177903766989,0.171050936956662,1.5320603793059,0.141521683598557,0.471436073172266,,6.22264638402067,7.40893028235395,0.683093122694981,0.87612712621865,3.77818009772329,2.55233863140185,8.90433148899267,,6.97514649424126,7.11910727906388,3.07230871354017,8.90565002742732,2.66748200336081,14.9753420784015,0.246255628812076,0.261055709288362,5.55704629586919,6.34681907470543,,5.83799925345278,4.57478268662067,0.123951343463539,6.4891433236713,1.91996474246564,0.191308159730288,0.190796788013424,6.63753857407155,7.1996708721887,9.25722449565809,30.3617571059432,,0.0775810395205982,0.0650963262888259,3.61316109747743,0.689209562782684,0.00109601424555476,6.07401503387431,,0.474277235370241,1.16793395286779,3.45524281808884,,8.27388580019575,,6.70885609912744,2.24013967929765,0.925241043900807,0.0693155275999314,0.0988187642477546,0.791174449021169,13.1286608765906,0.0586167082754224,10.2529576043421,,6.47477897628108,0.443695810471637,0.0625387972167919,0.838713191004261,4.11452722707379,,6.41288565306312,8.29469598514553,0.505941227313421,,1.24698046876873,0.54622969961125,0.484645378738367,0.897577585552605,0.644831227204562,9.19359477164172,4.29407539079148,,32.8159023496887,6.2066448402265,14.3970570928452,0.0667941901344714,0.592764713902111,,0.406226641968087,11.2841891175576,0.300478870467686,6.87236723824048,2.41343573872429,0.0776580346715716,9.71904093129273,,9.0396647819261,6.37181915436857,0.479110770410119,0.105455432306376,5.92335173565596,0.0842376034607273,5.6997858871967,0.227535411695389,2.71323565684969,1.38630881415144,,0.798013832239759,0.223737515621423,4.92810969731791,6.29426014302499,6.71619819946476,2.79840507339809,1.83035275594973,0.0695402378781883,1.74813254898207,,0.233070147849176,0.908999091000909,10.2254776590943,1.74304258694889,2.59936647762994,9.88805745591978,,1.0690613641223,0.0445742294367661,12.5369948365881,30.6515241365815,9.93784977968702,19.003403417648,1.39377311925148,5.65960290187094,0.452553045681997,4.99302538774681,0.289648065896983,,,0.611693375238407,0.365460621237373,1.76337697289844
